TRDAR_NO,TRDAR_NM,SIGNGU_CD,SIGNGU_NM,LINK_CNT,MINM_TXTR,MAX_TXTR,AVE_TXTR,DIFF_TXTR
10000,지행역,41250,동두천시,60,54.9,1941.8,466,1475.8
10001,전곡터미널,41800,연천군,98,0.2,223,43.8,179.2
10002,가능역,41150,의정부시,65,16,1039,343.3,695.7
10003,경기도청북부청사역_1,41150,의정부시,105,1.9,518.4,89.4,429
10004,경기도청북부청사역_2,41150,의정부시,103,11.5,1015.4,139.8,875.6
10005,의정부역_1,41150,의정부시,83,10.8,1987.8,342.9,1644.9
10006,의정부역_2,41150,의정부시,83,3.5,1987.8,356.3,1631.5
10007,젊음의거리_1,41150,의정부시,26,333.1,2709.8,1203.1,1506.7
10008,젊음의거리_2,41150,의정부시,94,2.4,2709.8,617,2092.8
10009,송우리시외버스터미널_1,41650,포천시,62,11.1,645.2,197.9,447.3
10010,송우리시외버스터미널_2,41650,포천시,79,0.2,645.2,149,496.2
10011,일동면,41650,포천시,40,1.5,397.7,106.9,290.8
10012,포천시외버스터미널_1,41650,포천시,74,0.1,274.4,69.1,205.3
10013,포천시외버스터미널_2,41650,포천시,36,4.3,274.4,73.9,200.5
10014,가능역2-3번출구,41150,의정부시,93,1.9,1039,287.3,751.7
10015,덕소역,41360,남양주시,48,2.9,396,129.7,266.3
10016,고촌읍사무소,41570,김포시,74,1.4,1320.6,222.6,1098
10017,김포시청_1,41570,김포시,63,7.9,903.6,156.7,746.9
10018,김포시청_2,41570,김포시,91,2.1,903.6,162.1,741.5
10019,장기사거리,41570,김포시,211,0.1,484,44.5,439.5
10020,통진우체국,41570,김포시,74,1.3,1041.5,181.3,860.2
10024,부개역,41190,부천시,17,13,796.3,288.9,507.4
10035,고양시청_1,41281,고양시 덕양구,44,71.9,1120.1,303.2,816.9
10036,고양시청_2,41281,고양시 덕양구,46,59.5,1120.1,285.9,834.2
10037,덕양구청,41281,고양시 덕양구,49,10.4,330.4,116.6,213.8
10038,행신1동주민센터,41281,고양시 덕양구,66,8.1,768.2,171.6,596.6
10039,행신역,41281,고양시 덕양구,80,6.9,442.6,85.6,357
10040,화정역_1,41281,고양시 덕양구,89,24.4,457.8,166,291.8
10041,화정역_2,41281,고양시 덕양구,66,27.8,457.8,175.7,282.1
10042,마두역_1,41285,고양시 일산동구,40,1.5,1469.9,367.1,1102.8
10043,마두역_2,41285,고양시 일산동구,115,16.5,1469.9,315.6,1154.3
10044,백석역_1,41285,고양시 일산동구,114,51.7,1423.1,253.7,1169.4
10045,백석역_2,41285,고양시 일산동구,68,55.6,908.5,291.3,617.2
10046,백석역_3,41285,고양시 일산동구,64,21.6,908.5,311.1,597.4
10047,정발산역_1,41285,고양시 일산동구,96,45.6,1406.8,283.5,1123.3
10048,정발산역_2,41285,고양시 일산동구,136,53.8,1040.5,237.1,803.4
10049,정발산역_3,41285,고양시 일산동구,124,8.3,1231.8,295.8,936
10050,정발산역_4,41285,고양시 일산동구,90,34.9,1040.5,283.4,757.1
10051,정발산역_5,41285,고양시 일산동구,94,34.9,1231.8,360.6,871.2
10052,대화역_1,41287,고양시 일산서구,50,2.6,1089.4,263.2,826.2
10053,일산역,41287,고양시 일산서구,84,4.9,647.1,83.1,564
10055,주엽역_1,41287,고양시 일산서구,20,123.3,998.5,326.8,671.7
10056,주엽역_2,41287,고양시 일산서구,34,68.2,1013,338.5,674.5
10060,파주출판산업단지,41480,파주시,191,0.1,147.7,13.8,133.9
10061,금릉역,41480,파주시,58,8.8,316,131.8,184.2
10062,금촌역_1,41480,파주시,153,5.2,646.3,111.4,534.9
10063,금촌역_2,41480,파주시,233,0.1,784.1,155.3,628.8
10064,문산시외버스터미널,41480,파주시,60,5.8,882.8,316.2,566.6
10065,법원사거리,41480,파주시,41,2.5,159.8,47.1,112.7
10066,대화역_2,41287,고양시 일산서구,50,2.6,1089.4,266,823.4
10067,정부과천청사역_1,41290,과천시,36,85,655.8,307.8,348
10068,정부과천청사역_2,41290,과천시,18,77.5,655.8,310.7,345.1
10069,금정역,41410,군포시,28,102,2210.7,583.9,1626.8
10070,산본역,41410,군포시,80,25.8,1859.6,658.1,1201.5
10071,계원예술대학교,41430,의왕시,68,59.7,1381.2,479.8,901.4
10072,관양사거리,41173,안양시 동안구,83,71.1,1711.2,669,1042.2
10073,범계역,41173,안양시 동안구,85,218.5,4439.6,1274.6,3165
10074,인덕원역,41173,안양시 동안구,52,16.9,2178.9,998.9,1180
10076,평촌먹거리촌,41173,안양시 동안구,88,35.9,1244.5,579.8,664.7
10077,평촌역,41173,안양시 동안구,100,58.5,2131.2,792.9,1338.3
10078,호계사거리,41173,안양시 동안구,32,117.5,3598.4,1123,2475.4
10079,명학역_1,41171,안양시 만안구,44,197.5,4014.2,1205.5,2808.7
10080,성결대,41171,안양시 만안구,34,207.1,4014.2,1236,2778.2
10081,안양대앞,41171,안양시 만안구,37,385.7,3382.3,1307.5,2074.8
10082,남부시장,41171,안양시 만안구,48,62.5,3818.4,1468,2350.4
10083,안양1번가,41171,안양시 만안구,56,75.6,3818.4,1509.3,2309.1
10084,안양3동,41171,안양시 만안구,54,120,3817.8,1282,2535.8
10086,안양중앙시장,41171,안양시 만안구,52,120,3817.8,1448.9,2368.9
10087,고잔역,41273,안산시 단원구,128,3.4,2886.8,166.8,2720
10089,별망중학교앞,41273,안산시 단원구,48,33.6,312.8,150.7,162.1
10090,선부광장,41273,안산시 단원구,53,84.9,1014.6,372.4,642.2
10091,호수동상점가,41273,안산시 단원구,110,28.1,939.9,257,682.9
10093,안산참치골목,41273,안산시 단원구,98,28.1,939.9,289.9,650
10094,도리섬상점가상권,41273,안산시 단원구,113,23.6,939.9,294.3,645.6
10096,안산다문화거리,41273,안산시 단원구,60,22.1,2507.2,617.4,1889.8
10097,중앙역,41273,안산시 단원구,54,161.8,3547.6,953.2,2594.4
10098,초지동주민센터,41273,안산시 단원구,68,12.7,355,129,226
10099,상록수역,41271,안산시 상록구,34,207.3,1383.5,641,742.5
10100,송호고등학교앞,41271,안산시 상록구,116,1.5,1479.4,279.7,1199.7
10101,한대앞역,41271,안산시 상록구,168,1,1229.5,134.8,1094.7
10102,구월동로데오거리,28200,남동구,42,97.4,3405.3,1556.8,1848.5
10103,인천지방법원,28177,미추홀구,22,302.1,2164.2,929.8,1234.4
10104,인하대 후문,28177,미추홀구,13,249,4918.3,1909.5,3008.8
10105,주안2동,28177,미추홀구,24,886.4,2986.4,1951.8,1034.6
10106,주안6동,28177,미추홀구,28,536.9,4018.8,1971.2,2047.6
10107,주안역_1,28177,미추홀구,38,267.1,4208.3,1784.4,2423.9
10108,주안역_2,28177,미추홀구,39,267.1,6232.8,2107.1,4125.7
10109,주안역_3,28177,미추홀구,44,267.1,6232.8,1960.6,4272.2
10110,가천의대길병원,28200,남동구,44,324.5,2567.9,1131.7,1436.2
10111,간석오거리역,28200,남동구,34,300,5327.9,2049.5,3278.4
10112,구월4동,28200,남동구,24,566.4,2258.8,1237.4,1021.4
10113,논현역,28200,남동구,68,5.1,1171.2,334.3,836.9
10114,만수1동,28200,남동구,22,487.7,1639.1,878.4,760.7
10115,만수2동,28200,남동구,24,136.5,1064.2,463,601.2
10116,만수6동_1,28200,남동구,34,112.1,923.3,366.9,556.4
10117,만수6동_2,28200,남동구,24,112.1,923.3,368.9,554.4
10118,인천소래포구,28200,남동구,81,7.1,1023.2,269.6,753.6
10119,인천시청_1,28200,남동구,41,324.5,2567.9,1232.1,1335.8
10120,인천시청_2,28200,남동구,62,50.9,3921,1254.2,2666.8
10121,동춘2동,28185,연수구,34,23.8,691.8,302.3,389.5
10122,송도1동,28185,연수구,49,23.9,1530.9,374.2,1156.7
10123,연수2동_1,28185,연수구,105,14.4,1775.9,456.6,1319.3
10124,연수2동_2,28185,연수구,77,14.4,1180.2,394.1,786.1
10125,연수역_1,28185,연수구,102,37.3,1775.9,398.7,1377.2
10126,연수역_2,28185,연수구,142,6.4,1775.9,270.6,1505.3
10127,동인천역,28110,중구,28,195.2,1324.3,697.9,626.4
10128,신포시장,28110,중구,36,81.9,1652.1,532.4,1119.7
10129,연안부두,28110,중구,22,85.1,425.6,274.2,151.4
10130,운서동,28110,중구,110,0.3,1399.6,230.2,1169.4
10131,송도신도시_1,28185,연수구,74,43.5,602.9,212.3,390.6
10132,송도신도시_2,28185,연수구,58,33.1,2102.4,431,1671.4
10133,강화군청,28710,강화군,76,0.3,413.2,50.8,362.4
10134,경인교대입구역,28245,계양구,16,566.2,2418.8,1392.3,1026.5
10135,경인교대입구역_1,28245,계양구,16,566.2,2418.8,1392.3,1026.5
10136,경인교대입구역_2,28245,계양구,16,566.2,2418.8,1392.3,1026.5
10137,계산4동_1,28245,계양구,98,53.2,2348.4,369.3,1979.1
10139,계산역,28245,계양구,16,429,2034.9,1251.7,783.2
10141,임학역,28245,계양구,22,250.7,1927.4,1044.6,882.8
10142,작전서운동,28245,계양구,221,6.3,2348.4,430.6,1917.8
10143,굴포천역,28237,부평구,65,92.6,3482.9,667.4,2815.5
10144,동암역_2,28237,부평구,30,490.2,3226.8,1334,1892.8
10145,동암역_3,28237,부평구,26,155,2581.5,987.5,1594
10146,부평시장,28237,부평구,38,710.4,5328.9,1796.9,3532
10147,부평역_1,28237,부평구,24,316.9,5328.9,2241,3087.9
10148,부평역_2,28237,부평구,29,1136.5,5328.9,2545.6,2783.3
10149,부평역_3,28237,부평구,41,125.9,5328.9,1612,3716.9
10150,부평문화의거리,28237,부평구,32,710.4,5328.9,2253.8,3075.1
10151,부평해물탕거리,28237,부평구,20,1105.3,5328.9,2230,3098.9
10152,가정1동,28260,서구,16,434.4,1487.2,860.5,626.7
10153,엠파크타워,28260,서구,58,0.6,805.1,261.2,543.9
10154,검단1동,28260,서구,138,5.7,979.3,165.3,814
10155,발산초등학교,28260,서구,82,5.8,895.7,97.9,797.8
10156,서구청역_1,28260,서구,83,31.3,1510.4,488.2,1022.2
10157,서구청역_2,28260,서구,60,31.3,1291.6,506.7,784.9
10158,검단먹거리타운,28260,서구,77,2.2,979.3,186.9,792.4
10159,완정역,28260,서구,74,18,764,263,501
10161,동암역_1,28237,부평구,26,490.2,3226.8,1622.2,1604.6
10162,동춘당공원,30230,대덕구,108,32,857.7,274.5,583.2
10164,관저2동,30170,서구,102,8.7,1790.1,299.2,1490.9
10166,대전문화예술의전당,30170,서구,70,45,2634.5,577.9,2056.6
10167,청사시외버스정류장,30170,서구,46,133.1,1709.3,573.7,1135.6
10168,둔산2동_1,30170,서구,134,78.7,7319.4,1302.3,6017.1
10169,둔산2동_2,30170,서구,94,81,3838.7,894.8,2943.9
10170,둔산2동_4,30170,서구,116,21.5,3838.7,793.9,3044.8
10171,시청역,30170,서구,176,11.4,1961,492.7,1468.3
10173,용문역_1,30170,서구,39,288.7,5187.1,1891.2,3295.9
10176,월평역,30170,서구,58,273.5,2711.5,1236.7,1474.8
10177,관평동,30200,유성구,122,5.5,799.3,208.8,590.5
10178,구즉동,30200,유성구,42,31.3,684.9,276.6,408.3
10179,노은2동_1,30200,유성구,50,6.8,659.5,231,428.5
10180,노은2동_2,30200,유성구,82,3.6,606.1,137.1,469
